origin,destination,intermediate,distance,duration,static_duration,polyline,request_time
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,310s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T22:38:48Z
Eastwood_at_Winnebago,Wilson_at_Willy,Willy_at_Ingersoll,2266,359s,336s,ux~eGdtk`PxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xG,2025-09-21T22:38:48Z
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,711s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T23:09:06Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,629s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T23:09:06Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,591s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T23:09:06Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,831s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:09:06Z
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,692s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:09:06Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,678s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:09:07Z
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,328s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T23:09:07Z
Eastwood_at_Winnebago,Wilson_at_Willy,Willy_at_Ingersoll,2266,370s,336s,ux~eGdtk`PxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xG,2025-09-21T23:09:07Z
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,704s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T23:40:09Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,637s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T23:40:09Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,528s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T23:40:09Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,807s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:40:09Z
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,666s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:40:09Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,668s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T23:40:09Z
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,342s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T23:40:09Z
